GNIS_NAME,LENGTHKM,PERMANENT_IDENTIFIER,REACHCODE,COMID,closest_node_m,snap_m,snap_xy,closest,name_check,name_check_txt,input_id
,2.096288976,23505618,1.70602E+13,23505618,243.0615744,247.9817027,POINT (-113.9642339416852 44.77042431550476),3,0,"no name match, water name and or gnis name not provided",BLMMaster-30074
,0.894437265,23506294,1.70602E+13,23506294,901.1075729,901.1075729,POINT (-113.9571551998761 44.77363433070399),4,0,"no name match, water name and or gnis name not provided",BLMMaster-30074
Allison Creek,3.624619433,23503798,1.70602E+13,23503798,901.1075729,901.1075729,POINT (-113.9571551998761 44.77363433070399),5,1,exact name match,BLMMaster-30074
Animas River,2.364689605,17016639,1.40801E+13,17016639,519.5867311,3.093193461,POINT (-107.8660850716391 36.99204459642215),1,1,exact name match,BLMMaster-22514
Animas River,0.481533563,17016637,1.40801E+13,17016637,519.5867311,519.5867311,POINT (-107.8637890085549 36.99631967584717),2,1,exact name match,BLMMaster-22514
,0.028647014,17016635,1.40801E+13,17016635,519.5867311,519.5867311,POINT (-107.8637890085549 36.99631967584717),3,0,"no name match, water name and or gnis name not provided",BLMMaster-22514
,0.622396712,17016687,1.40801E+13,17016687,nan,547.494365,POINT (-107.86359507668 36.99652480915324),4,0,"no name match, water name and or gnis name not provided",BLMMaster-22514
Antelope Creek,8.012750932,24516084,1.70703E+13,24516084,2977.557892,9.381912647,POINT (-120.7217195429527 44.16303898443442),1,0.571428571,PrinevilleIntermittent-064,
,2.849747102,10035856,1.40401E+13,10035856,1045.438851,5.290581513,POINT (-109.7773618622826 41.0286236205689),1,0,"no name match, water name and or gnis name not provided",BLMMaster-11241
,3.911039556,10035888,1.40401E+13,10035888,1045.438851,1045.438851,POINT (-109.7875034728032 41.02311460326658),2,0,"no name match, water name and or gnis name not provided",BLMMaster-11241
,1.613164254,10035914,1.40401E+13,10035914,1045.438851,1045.438851,POINT (-109.7875034728032 41.02311460326658),3,0,"no name match, water name and or gnis name not provided",BLMMaster-11241
,6.701428953,10035878,1.40401E+13,10035878,1455.142261,1400.766903,POINT (-109.7772660730461 41.04108900316209),4,0,"no name match, water name and or gnis name not provided",BLMMaster-11241
,4.951317892,1399152,1.40802E+13,1399152,1514.32721,33.57212775,POINT (-109.6773866537867 37.54810349853403),1,0,"no name match, water name and or gnis name not provided",CY-TR-1477
,5.589850904,1399150,1.40802E+13,1399150,1514.32721,966.2545588,POINT (-109.6673740071445 37.55112160832834),2,0,"no name match, water name and or gnis name not provided",CY-TR-1477
,9.28867777,1399164,1.40802E+13,1399164,2594.546306,1109.990889,POINT (-109.6810086576071 37.53831150259544),3,0,"no name match, water name and or gnis name not provided",CY-TR-1477
Argyle Creek,2.332489205,3895993,1.406E+13,3895993,881.2378518,38.16747858,POINT (-110.4894594767976 39.84425371224017),1,1,exact name match,BLMMaster-10556
,2.970260196,3896745,1.406E+13,3896745,1098.973422,840.2009137,POINT (-110.4878914056498 39.83719487092031),2,0,"no name match, water name and or gnis name not provided",BLMMaster-10556
,4.250696093,3895971,1.406E+13,3895971,881.2378518,867.075873,POINT (-110.4980638722604 39.84883327133496),3,0,"no name match, water name and or gnis name not provided",BLMMaster-10556
Argyle Creek,1.070351608,3896741,1.406E+13,3896741,881.2378518,881.2378518,POINT (-110.4984496060969 39.84860400386711),4,1,exact name match,BLMMaster-10556
Arkansas Creek,7.361066454,15954978,1.018E+13,15954978,617.8988753,6.705340608,POINT (-107.1801261393114 42.30138506876268),1,1,exact name match,BLMMaster-13593
Arkansas Creek,3.689453892,15954896,1.018E+13,15954896,617.8988753,617.8988753,POINT (-107.1758790107134 42.30591040118304),2,1,exact name match,BLMMaster-13593
,3.679104512,15954894,1.018E+13,15954894,617.8988753,617.8988753,POINT (-107.1758790107134 42.30591040118304),3,0,"no name match, water name and or gnis name not provided",BLMMaster-13593
,4.754471378,15954934,1.018E+13,15954934,2514.419338,764.0201318,POINT (-107.1883528274171 42.3047149659567),4,0,"no name match, water name and or gnis name not provided",BLMMaster-13593
Arkansas Creek,7.361066454,15954978,1.018E+13,15954978,2524.419841,7.489874378,POINT (-107.2049379899136 42.27470709451345),1,1,exact name match,BLMMaster-11545
,1.931755677,15954964,1.018E+13,15954964,952.5067688,662.2023266,POINT (-107.2102607955037 42.27924730658367),2,0,"no name match, water name and or gnis name not provided",BLMMaster-11545
,3.773535584,15954974,1.018E+13,15954974,3007.821025,1148.387642,POINT (-107.214137076586 42.28253920106581),3,0,"no name match, water name and or gnis name not provided",BLMMaster-11545
East Arkansas Creek,4.165622994,15954980,1.018E+13,15954980,2166.560795,1358.141026,POINT (-107.195178678304 42.26496780127573),4,0.848484848,most likely name match based on fuzzy match,BLMMaster-11545
Arkansas Creek,7.361066454,15954978,1.018E+13,15954978,1934.385845,1.419678743,POINT (-107.2101787041118 42.27104085472609),1,1,most likely name match based on fuzzy match,RA-TR-1200
,1.931755677,15954964,1.018E+13,15954964,589.8114105,625.6416351,POINT (-107.2134197323684 42.27612056238954),2,0,"no name match, water name and or gnis name not provided",RA-TR-1200
,3.773535584,15954974,1.018E+13,15954974,2484.318289,1106.711777,POINT (-107.2182909433411 42.27896925856447),3,0,"no name match, water name and or gnis name not provided",RA-TR-1200
East Arkansas Creek,4.165622994,15954980,1.018E+13,15954980,2005.327197,1428.369803,POINT (-107.1959468780192 42.26368680130516),4,0.848484848,most likely name match based on fuzzy match,RA-TR-1200
Arkansas River,2.358920476,920371,1.102E+13,920371,2031.634923,3.531423307,POINT (-105.9305816974312 38.50059189209241),1,1,exact name match,BLM13-3074
Arkansas River,1.775417799,920949,1.102E+13,920949,1468.354701,92.47342797,POINT (-105.9298006128662 38.50001260687996),2,1,exact name match,BLM13-3074
,3.833819896,921039,1.102E+13,921039,1470.678734,1032.759567,POINT (-105.9258374119656 38.49211127300434),3,0,"no name match, water name and or gnis name not provided",BLM13-3074
,4.493501073,919927,1.102E+13,919927,nan,1403.064467,POINT (-105.9143632801717 38.50021940704392),4,0,"no name match, water name and or gnis name not provided",BLM13-3074
Arkansas River,2.934633888,921069,1.102E+13,921069,806.0071179,85.06416096,POINT (-105.3615355132602 38.47613895792295),1,1,exact name match,BLM13-3071
,0.968754424,921043,1.102E+13,921043,806.0071179,806.0071179,POINT (-105.3703670800117 38.47715980702969),2,0,"no name match, water name and or gnis name not provided",BLM13-3071
Arkansas River,1.326604703,921027,1.102E+13,921027,806.0071179,806.0071179,POINT (-105.3703670800117 38.47715980702969),3,1,exact name match,BLM13-3071
,2.846996584,921097,1.102E+13,921097,1254.665641,1254.665641,POINT (-105.3736286138649 38.47120820722184),4,0,"no name match, water name and or gnis name not provided",BLM13-3071
Arkansas River,2.294906349,921309,1.102E+13,921309,971.3966497,19.46872383,POINT (-105.5743450236568 38.41984338000488),1,1,exact name match,BLM13-3072
Arkansas River,0.582752137,921253,1.102E+13,921253,971.3966497,959.3902551,POINT (-105.5658768798582 38.42534207431807),2,1,exact name match,BLM13-3072
,5.077050874,921241,1.102E+13,921241,971.3966497,971.3966497,POINT (-105.5659930795796 38.42561687393665),3,0,"no name match, water name and or gnis name not provided",BLM13-3072
,3.129315421,921343,1.102E+13,921343,1281.281164,1079.797647,POINT (-105.5625958801265 38.41707687369829),4,0,"no name match, water name and or gnis name not provided",BLM13-3072
Arkansas River,1.175363962,918125,1.102E+13,918125,571.6381226,15.89471921,POINT (-106.048832723193 38.64457154761774),1,1,exact name match,BLMMaster-10185
,1.532689706,918139,1.102E+13,918139,571.6381226,358.9613654,POINT (-106.0481494117958 38.64131467334648),2,0,"no name match, water name and or gnis name not provided",BLMMaster-10185
Arkansas River,1.411007351,918151,1.102E+13,918151,571.6381226,571.6381226,POINT (-106.0517402791578 38.63996647434),3,1,exact name match,BLMMaster-10185
Arkansas River,0.287002102,918097,1.102E+13,918097,598.3822591,598.3822591,POINT (-106.04863681238 38.64982947307441),4,1,exact name match,BLMMaster-10185
,0.733743679,918101,1.102E+13,918101,598.3822591,598.3822591,POINT (-106.04863681238 38.64982947307441),5,0,"no name match, water name and or gnis name not provided",BLMMaster-10185
Arkansas River,1.002687908,919891,1.102E+13,919891,81.02412708,54.06042898,POINT (-105.9549261479464 38.50544382335403),1,1,exact name match,BLMMaster-12898
,5.270143491,919889,1.102E+13,919889,81.02412708,81.02412708,POINT (-105.9542984793163 38.5055556736736),2,0,"no name match, water name and or gnis name not provided",BLMMaster-12898
Arkansas River,0.098978231,919887,1.102E+13,919887,81.02412708,81.02412708,POINT (-105.9542984793163 38.5055556736736),3,1,exact name match,BLMMaster-12898
Bear Creek,0.661252408,919925,1.102E+13,919925,165.1235891,142.6804676,POINT (-105.9531914129342 38.50502987418356),4,0.333333333,nan,BLMMaster-12898
Arkansas River,5.459356473,921425,1.102E+13,921425,909.5798873,27.84116184,POINT (-105.6490557414418 38.39107066481557),1,1,exact name match,BLMMaster-10082
Carrol Creek,2.975586959,921363,1.102E+13,921363,909.5798873,663.4403988,POINT (-105.642543279143 38.39445227386813),2,0.307692308,nan,BLMMaster-10082
Arkansas River,1.392329677,921361,1.102E+13,921361,909.5798873,909.5798873,POINT (-105.6388492127212 38.39328540689426),3,1,exact name match,BLMMaster-10082
Arkansas River,3.043282335,917547,1.102E+13,917547,1367.848483,9.608346554,POINT (-106.1715627359046 38.92204558547341),1,1,most likely name match based on fuzzy match,BLMMaster-10889
Four Elk Creek,0.765906229,917549,1.102E+13,917549,1367.848483,1367.848483,POINT (-106.1741994786633 38.90997707305636),2,0.214285714,nan,BLMMaster-10889
Arkansas River,2.279726163,917573,1.102E+13,917573,1367.848483,1367.848483,POINT (-106.1741994786633 38.90997707305636),3,1,most likely name match based on fuzzy match,BLMMaster-10889
Frenchman Creek,1.015017917,917503,1.102E+13,917503,1440.1688,1440.1688,POINT (-106.1762980792321 38.93430447268059),4,0.344827586,nan,BLMMaster-10889
Arkansas River,1.318361954,917501,1.102E+13,917501,1440.1688,1440.1688,POINT (-106.1762980792321 38.93430447268059),5,1,most likely name match based on fuzzy match,BLMMaster-10889
Arrastra Creek,4.301522789,17013787,1.40801E+13,17013787,2786.558189,15.02842637,POINT (-107.6124717137863 37.80480314961579),1,1,exact name match,BLMMaster-10178
,2.359517514,17013779,1.40801E+13,17013779,1268.593992,1268.593992,POINT (-107.6270504758102 37.80356780802492),2,0,"no name match, water name and or gnis name not provided",BLMMaster-10178
Arrastra Creek,0.219803935,17014225,1.40801E+13,17014225,nan,1305.410158,POINT (-107.6059458762092 37.79425520771387),3,1,exact name match,BLMMaster-10178
Ashley Creek,4.576940382,1393007,1.406E+13,1393007,559.0766341,42.80314549,POINT (-109.6151310993486 40.55873913727269),1,1,exact name match,BLM13-5031
,0.300657253,1392883,1.406E+13,1392883,559.0766341,559.0766341,POINT (-109.6172708069329 40.56313860381075),2,0,"no name match, water name and or gnis name not provided",BLM13-5031
Ashley Creek,0.084829055,1392881,1.406E+13,1392881,559.0766341,559.0766341,POINT (-109.6172708069329 40.56313860381075),3,1,exact name match,BLM13-5031
Ashley Creek,0.486940496,1393689,1.406E+13,1393689,641.1833334,641.1833334,POINT (-109.6175406067955 40.5638478710732),4,1,exact name match,BLM13-5031
Badger Creek,1.991135791,921061,1.102E+13,921061,799.5598455,21.2825799,POINT (-105.8589118822948 38.47552253908824),1,1,exact name match,BLM13-3018
Arkansas River,3.058508392,921057,1.102E+13,921057,1140.699241,662.3895458,POINT (-105.8654938800467 38.47214120688538),2,0.230769231,nan,BLM13-3018
Badger Creek,2.056902928,920995,1.102E+13,920995,799.5598455,799.5598455,POINT (-105.8592320128626 38.48253267305663),3,1,exact name match,BLM13-3018
,3.582819511,920993,1.102E+13,920993,799.5598455,799.5598455,POINT (-105.8592320128626 38.48253267305663),4,0,"no name match, water name and or gnis name not provided",BLM13-3018
Badger Creek,1.769431524,919443,1.102E+13,919443,356.0899321,1.487173546,POINT (-105.8146689406969 38.656269973177),1,1,exact name match,FR-TR-012
Badger Creek,2.462745033,919385,1.102E+13,919385,356.0899321,356.0899321,POINT (-105.8133262803839 38.6592678741389),2,1,exact name match,FR-TR-012
,2.626866083,919387,1.102E+13,919387,356.0899321,356.0899321,POINT (-105.8133262803839 38.6592678741389),3,0,"no name match, water name and or gnis name not provided",FR-TR-012
Steer Creek,4.578619624,919445,1.102E+13,919445,1175.543988,1175.543988,POINT (-105.8187074792851 38.64624667328054),4,0.695652174,likely name match based on fuzzy match,FR-TR-012
Badger Creek,1.514421659,919475,1.102E+13,919475,1175.543988,1175.543988,POINT (-105.8187074792851 38.64624667328054),5,1,exact name match,FR-TR-012
Badger Creek,1.991135791,921061,1.102E+13,921061,332.7905448,6.075519125,POINT (-105.8594125880272 38.4795881222069),1,1,exact name match,FR-TR-007
Badger Creek,2.056902928,920995,1.102E+13,920995,332.7905448,332.7905448,POINT (-105.8592320128626 38.48253267305663),2,1,exact name match,FR-TR-007
,3.582819511,920993,1.102E+13,920993,332.7905448,332.7905448,POINT (-105.8592320128626 38.48253267305663),3,0,"no name match, water name and or gnis name not provided",FR-TR-007
Arkansas River,3.058508392,921057,1.102E+13,921057,1592.301362,963.9167516,POINT (-105.86593061294 38.47262200687402),4,0.230769231,nan,FR-TR-007
Badger Creek,7.338908217,23233059,1.70402E+13,23233059,3222.05944,4.9695618,POINT (-113.1992715479631 44.07456035733835),1,1,exact name match,BLM13-1004
,9.204731623,23233877,1.70402E+13,23233877,3498.11498,1339.312586,POINT (-113.2010194392491 44.08654864420466),2,0,"no name match, water name and or gnis name not provided",BLM13-1004
,8.436221717,23233929,1.70402E+13,23233929,3142.178979,1627.711703,POINT (-113.1872354016258 44.06283199803887),3,0,"no name match, water name and or gnis name not provided",BLM13-1004
Badger Creek,7.338908217,23233059,1.70402E+13,23233059,3195.034883,21.91736611,POINT (-113.1994902813621 44.07438773738637),1,1,exact name match,BLM13-1004
,9.204731623,23233877,1.70402E+13,23233877,3469.515912,1339.742621,POINT (-113.2013749911451 44.08649747941353),2,0,"no name match, water name and or gnis name not provided",BLM13-1004
,8.436221717,23233929,1.70402E+13,23233929,3125.673719,1852.74732,POINT (-113.1949024014459 44.05828093172565),3,0,"no name match, water name and or gnis name not provided",BLM13-1004
Badger Creek,2.281047413,24061573,1.712E+13,24061573,770.4576556,1.350413776,POINT (-119.474404938468 41.73988849483089),1,0.916666667,most likely name match based on fuzzy match,BLM13-8323
,2.686183357,24061825,1.712E+13,24061825,1329.208456,473.6967718,POINT (-119.4775715245651 41.74342766794327),2,0,"no name match, water name and or gnis name not provided",BLM13-8323
,3.213143669,24061575,1.712E+13,24061575,770.4576556,770.4576556,POINT (-119.4670881252818 41.7356228017119),3,0,"no name match, water name and or gnis name not provided",BLM13-8323
Badger Creek,6.447604818,24061621,1.712E+13,24061621,770.4576556,770.4576556,POINT (-119.4670881252818 41.7356228017119),4,0.916666667,most likely name match based on fuzzy match,BLM13-8323
Bailey Creek,2.467267285,20310827,1.808E+13,20310827,1321.598011,35.33060282,POINT (-120.6017167680013 40.81300862662189),1,1,exact name match,BLM13-8127
Bailey Creek,0.202231664,20311511,1.808E+13,20311511,nan,968.3499355,POINT (-120.5983741239572 40.82114606971821),2,1,exact name match,BLM13-8127
Bailey Creek,0.140043447,20310795,1.808E+13,20310795,1272.967491,1150.612741,POINT (-120.597409989949 40.82263240309212),3,1,exact name match,BLM13-8127
,8.125270554,20311473,1.808E+13,20311473,1272.967491,1272.967491,POINT (-120.5963557900534 40.82352406975881),4,0,"no name match, water name and or gnis name not provided",BLM13-8127
Bairs Creek,8.236746873,20267045,1.80901E+13,20267045,2675.338049,23.02869209,POINT (-118.2253778209098 36.69267049961373),1,1,exact name match,BLM13-6132
North Fork Bairs Creek,9.878637785,20267043,1.80901E+13,20267043,2675.338049,1024.20245,POINT (-118.229197956186 36.70109853283278),2,0.666666667,likely name match based on fuzzy match,BLM13-6132
,2.869255846,20295339,1.808E+13,20295339,926.6760248,14.29271687,POINT (-120.4035638170563 40.47106466530938),1,0,"no name match, water name and or gnis name not provided",BLM13-8136
,5.235516054,20295377,1.808E+13,20295377,926.6760248,717.4327783,POINT (-120.4011657913553 40.4650508711826),2,0,"no name match, water name and or gnis name not provided",BLM13-8136
,2.157312753,20295375,1.808E+13,20295375,926.6760248,926.6760248,POINT (-120.4133235899262 40.46728987019245),3,0,"no name match, water name and or gnis name not provided",BLM13-8136
Balm of Gilead Creek,6.683193787,5241986,1.019E+13,5241986,5569.523224,18.95537703,POINT (-105.5338478460895 38.88957897549816),1,0.823529412,most likely name match based on fuzzy match,FR-TR-004
Balm of Gilead Creek,1.876792265,5241438,1.019E+13,5241438,2088.319185,309.1630887,POINT (-105.5324210129561 38.8920084726871),2,0.823529412,most likely name match based on fuzzy match,FR-TR-004
