"","SITE_CD","STRM_NM","MS_CD","UID","DT","MRG_SITE_CD","VST_NMBR","MIDLAT","MIDLONG","PRJCT","PRTCL","ADMIN_ST","PARENT_CD","ADMIN_UNIT_CD","STRTM","TRGTD","STRM_ORDR","STRM_SZ_ORDER","STRM_SZ_BNK","NAMC_BENCHMARK","ECRGN","CLIMATE","BTMLAT","BTMLONG","TRLAT","TRLONG","TOT_RCH_LEN","FLD_STATUS","PCT_OVRHD_CVR","BK_OVRHD_CVR","VEG_CMPLXTY","RPRN_VEG_CNPY_CVR","RPRN_VEG_UNDRSTRY_CVR","RPRN_VEG_GC","NON_NTVE_WDY","NTVE_WDY","NON_NTVE_HRB","NTVE_HRB","SDGE_RSH","INVSVE_INVRT_SP","OBSRVD_INVRT_RCHNSS","EXPCTD_INVRT_RCHNSS","OE_MACROINVRTBRTE","MMI_MACROINVRTBRTE","OE_MMI_MOD_USD","MOD_APPLCBLTY","MACROINVRTBRTE_CNT","TTL_N","PRD_TTL_N","TTL_P","PRD_TTL_P","SPCFC_CNDCTNCE","PRD_SPCFC_CNDCTNCE","pH","INSTNT_TEMP","TRBDTY","PCT_PL","RES_PL_DEP","PL_FREQ","LWD_FREQ","LWD_VL","PCT_FN","PCT_FN6","D16","D84","D50","GMTRC_MN_PRTCLE_DIAM","PL_TL_FN","PL_TL_FN6","BNK_CVR","BNK_CVR_STBLTY","BNK_STBLTY","BNK_CVR_BDRCK","BNK_CVR_CBBLE","BNK_CVR_LWD","BNK_CVR_VEG","BNKFLL_HT","INCSN_HT","FLDPLN_CNNCTVTY","INSTRM_HBTT_CMPLXTY","BNK_AN","THLWG_DEP_CV","THLWG_DEP_MN","PCT_DRY","BNKFLL_WT","WTTD_WT","FLD_WT","ENTRCH","SLPE","SNSTY","BVR_FLW_MD","BVR_SGN","WTR_WTHDRWL","DATECHNGE","CHNGRSN","GlobalID","coords.x1","coords.x2","optional"
"11","OT-SS-7108","Mormon Creek","BLM13-7108","3985868243","2014/06/15 00:00:00",NA,"1",37.9838,-120.47075,"WRSA","WADEABLE","CA","CAC00000","CAC08000","Other","Random","2","SS","SmallWadeable","PacificNorthwestXericCalifornia_SmallWadeable","PacificNorthwest","Xeric",37.98375,-120.47159,37.98431,-120.47019,150,"Sampled - Interrupted Flow",25.7,52.7,1.08,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,0.28134662,NA,"CA_CSCI",NA,20,860,150.6,77.2,31.7,672,310.8,7.83,27.5,NA,NA,NA,NA,0,0,11.1,21.1,5,4097,75,6,NA,NA,78,78,100,NA,NA,NA,NA,0.43,0.76,-0.36,0.22,145,NA,NA,47.9,5.61,1.21,NA,NA,1.99,1.09,"NONE","ABSENT",NA,"2017/07/11 00:00:00","Initial import into Aquadat","{DF6CFB09-37C2-4CE2-B092-7593A8AE2E7F}",-120.47075,37.9838,TRUE
"12","OT-SS-7112","Sulphur Creek","BLM13-7112","9999344466","2015/06/17 00:00:00",NA,"1",39.178898,-123.091933,"WRSA","WADEABLE","CA","CAC00000","CAC05000","Other","Random","1","SS","SmallWadeable","PacificNorthwestXericCalifornia_SmallWadeable","PacificNorthwest","Xeric",39.17914,-123.092759,39.179023,-123.091402,150,"Sampled - Interrupted Flow",89.3,90.6,1.73,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,0.50439886,NA,"CA_CSCI",NA,53,44,162.2,15.8,9.2,400.9,254.6,7.3,15.5,NA,NA,NA,NA,6,1.302,24.4,34.1,1,4097,18,4,NA,NA,38,33,50,NA,NA,NA,NA,0.27,0.43,-0.58,0.32,121,NA,0.04,8.3,1.51,0.47,NA,NA,13.11,1.27,"NONE","ABSENT",NA,"2017/07/11 00:00:00","Initial import into Aquadat","{6C98919F-8902-462A-BA32-7768614CF722}",-123.091933,39.1788980000001,TRUE
"13","OT-SS-7115","Benmore Creek","BLM13-7115","8500881086","2015/08/05 00:00:00",NA,"1",39.028444,-123.034889,"WRSA","WADEABLE","CA","CAC00000","CAC05000","Other","Random","2","SS","SmallWadeable","PacificNorthwestXericCalifornia_SmallWadeable","PacificNorthwest","Xeric",39.028723,-123.034421,39.02816,-123.035734,150,"Sampled - Interrupted Flow",92.9,97.1,1.6,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,0.95831928,NA,"CA_CSCI",NA,400,104.7,212.9,13.7,22.6,196.2,297.8,6.82,12.8,NA,NA,NA,NA,4,0.315,3.8,8.6,12,146,50,5,NA,NA,60,60,100,NA,NA,NA,NA,0.22,0.47,-0.46,0.93,126,NA,0.2,5.3,3.33,1.79,NA,NA,3.29,1.16,"NONE","ABSENT",NA,"2017/07/11 00:00:00","Initial import into Aquadat","{6C831760-85B2-4619-97BB-82C982675DED}",-123.034889,39.028444,TRUE
"14","OT-SS-7116","South Fork Elder Creek","BLM13-7116","6205642407","2015/07/23 00:00:00",NA,"1",39.957402,-122.659455,"WRSA","WADEABLE","CA","CAN00000","CAN06000","Other","Random","2","SS","SmallWadeable","PacificNorthwestXericCalifornia_SmallWadeable","PacificNorthwest","Xeric",39.957328,-122.659443,39.957872,-122.659458,150,"Sampled - Partial Reach",90,95.1,0.44,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,0.94723992,NA,"CA_CSCI",NA,401,95,101.8,20.1,10,386.5,205.5,8.05,15.8,NA,43.68,0.4,133.3,0,0,1.8,2.7,21,567,72,7,NA,NA,45,45,100,NA,NA,NA,NA,0.41,0.41,-1,1.08,118,0.86,0.22,0,5.09,2.6,NA,NA,10.3,NA,"NONE","ABSENT",NA,"2017/07/11 00:00:00","Initial import into Aquadat","{45EEB461-49BC-4B30-A24E-A087098EB9AA}",-122.659455,39.9574020000001,TRUE
"15","OT-SS-7128","Scotts Creek","BLM13-7128","1583126584","2015/08/09 00:00:00",NA,"1",39.149558,-123.060644,"WRSA","WADEABLE","CA","CAC00000","CAC05000","Other","Random","2","SS","SmallWadeable","PacificNorthwestXericCalifornia_SmallWadeable","PacificNorthwest","Xeric",39.148835,-123.060259,39.149643,-123.061284,150,"Sampled - Full Reach",92.5,95.5,1.46,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,0.93641217,NA,"CA_CSCI",NA,401,267.2,205.4,67.4,9.8,385.2,287.2,7.16,16.8,NA,6.63,0.27,13.3,5.333,0.281,5.3,7.7,12,81,34,5,NA,NA,19,19,100,NA,NA,NA,NA,0.21,0.46,-0.45,0.58,122,0.53,0.12,0,2.82,1.76,NA,NA,2.05,1.19,"NONE","ABSENT",NA,"2017/07/11 00:00:00","Initial import into Aquadat","{A74E11E8-5700-47A2-A165-84653DAAEECF}",-123.060644,39.1495580000001,TRUE
"16","OT-SS-7140",NA,"BLM13-7140","2820234347","2015/08/22 00:00:00",NA,"1",40.437022,-122.874756,"WRSA","WADEABLE","CA","CAN00000","CAN06000","Other","Random","1","SS","SmallWadeable","PacificNorthwestXericCalifornia_SmallWadeable","PacificNorthwest","Mountains",40.436447,-122.874367,40.437299,-122.875095,150,"Sampled - Interrupted Flow",93.3,97.6,1.82,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,0.58008299,NA,"CA_CSCI",NA,397,252,138.4,29.1,10.9,436.2,240,7.92,19.2,NA,NA,NA,NA,7.333,13.179,6.8,13.7,8,400,30,5,NA,NA,79,79,97,NA,NA,NA,NA,0.23,0.23,-1,0.35,113,NA,0.1,12,1.8,1.23,NA,NA,1.02,1.33,"NONE","ABSENT",NA,"2017/07/11 00:00:00","Initial import into Aquadat","{DFBAB51D-C9A9-43AB-AF9D-EB0C9874EFC7}",-122.874756,40.4370220000001,TRUE
"17","OT-SS-7150",NA,"BLM13-7150","5162642488","2015/07/25 00:00:00",NA,"1",38.804601,-122.36598,"WRSA","WADEABLE","CA","CAC00000","CAC05000","Other","Random","1","SS","SmallWadeable","PacificNorthwestXericCalifornia_SmallWadeable","PacificNorthwest","Xeric",38.804454,-122.366829,38.804662,-122.365105,150,"Sampled - Full Reach",49.1,61.8,0.71,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,0.34821546,NA,"CA_CSCI",NA,362,77.7,203.7,11.1,27.2,1136,294.7,8.7,24.3,NA,8.03,0.17,26.7,0,0,4.1,4.5,4097,4097,4097,26,NA,NA,79,79,100,NA,NA,NA,NA,0.27,0.27,-1,0.08,156,0.72,0.1,0,4.74,2.01,NA,NA,1.26,NA,"NONE","ABSENT",NA,"2017/07/11 00:00:00","Initial import into Aquadat","{AC2D9763-04CD-4C0C-9EC6-A9A3B9612D5D}",-122.36598,38.804601,TRUE
"18","XS-LS-6001","LONE PINE CREEK","BLM13-6001","12715","2013/06/29 00:00:00",NA,"1",36.598,-118.1797,"WRSA","WADEABLE","CA","CAC00000","CAC07000","XE_SOUTH","Random","3","LS","SmallWadeable","SouthernXericBasin_SmallWadeable","SouthernXericBasin","Xeric",36.5983,-118.179,36.5981,-118.1807,160,"Sampled - Full Reach",73.4,83.7,0.81,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,0.85548391,NA,"CA_CSCI",NA,401,61.9,184.3,0,20.4,35.6,105.6,6.3,15.5,NA,NA,NA,NA,6.944,0.404,17.5,NA,NA,NA,NA,NA,NA,NA,57,57,100,NA,NA,NA,NA,0.59,1.06,-0.24,0.64,NA,NA,NA,0,5.02,3.12,NA,NA,5.58,1.04,"NONE","ABSENT",NA,"2017/07/11 00:00:00","Initial import into Aquadat","{59758741-E151-4CDB-8AE5-01C62850497D}",-118.1797,36.5980000000001,TRUE
"19","XS-LS-6017","WYMAN CREEK","BLM13-6017","11807","2013/06/28 00:00:00",NA,"1",37.4108,-117.9972,"WRSA","WADEABLE","CA","CAD00000","CAD05000","XE_SOUTH","Random","3","LS","SmallWadeable","SouthernXericBasin_SmallWadeable","SouthernXericBasin","Xeric",37.4104,-117.9967,37.4113,-117.9976,150,"Sampled - Full Reach",94.8,93.6,0.7,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,0.6336071,NA,"CA_CSCI",NA,401,297.8,203.5,21.7,40.5,359.8,207.3,6.74,26.8,NA,NA,NA,NA,0,0,88.9,NA,NA,NA,NA,NA,NA,NA,40,40,100,NA,NA,NA,NA,0.31,0.66,-0.34,0.8,NA,0.37,0.19,0,5.81,1.67,NA,NA,4.66,1.17,"NONE","ABSENT",NA,"2017/07/11 00:00:00","Initial import into Aquadat","{D04C9674-B266-4460-9770-6E6FFC0D6E4B}",-117.9972,37.4108000000001,TRUE
"20","XS-LS-6041","Virginia Creek","BLM13-6041","8693897243","2014/06/11 00:00:00",NA,"1",38.169469,-119.195453,"WRSA","WADEABLE","CA","CAC00000","CAC07000","XE_SOUTH","Random","3","LS","SmallWadeable","SouthernXericBasin_SmallWadeable","SouthernXericBasin","Xeric",NA,NA,38.16875,-119.19518,170,"Sampled - Full Reach",27.6,81.4,1.41,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,0.97956969,NA,"CA_CSCI",NA,401,129,166.9,23.1,32.4,91.3,87.6,7.61,17.9,NA,19.62,0.22,23.5,0,0,25.6,27.4,1,220,42,4,NA,NA,83,83,100,NA,NA,NA,NA,0.28,0.57,-0.4,0.48,133,0.24,0.28,0,5.59,3.99,NA,NA,2.18,NA,"MAJOR","COMMON",NA,"2017/07/11 00:00:00","Initial import into Aquadat","{2EF076F5-D42E-4496-92D3-7CCF73F3B5C3}",-119.195453,38.169469,TRUE
"21","XS-SS-6104","DUG CREEK","BLM13-6104","11806","2013/07/01 00:00:00",NA,"1",38.1249,-119.2125,"WRSA","WADEABLE","CA","CAC00000","CAC07000","XE_SOUTH","Random","2","SS","SmallWadeable","SouthernXericBasin_SmallWadeable","SouthernXericBasin","Xeric",38.1253,-119.2119,38.1246,-119.213,150,"Sampled - Full Reach",65.4,82.6,1.32,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,1.05990665,NA,"CA_CSCI",NA,401,354.7,121.7,11.9,17.9,106.3,84.1,6.74,12.6,NA,NA,NA,NA,26,5.894,7.7,NA,NA,NA,NA,NA,NA,NA,93,93,100,NA,NA,NA,NA,0.54,0.92,-0.32,0.81,NA,0.28,0.22,0,5.8,3.49,NA,NA,5.87,1.21,"NONE","RARE",NA,"2017/07/11 00:00:00","Initial import into Aquadat","{E35D9D03-084D-4405-8F63-3F73DCEEC586}",-119.2125,38.1249,TRUE
"22","XS-SS-6110","San Felipe Creek","BLM13-6110","1708915464","2014/06/14 00:00:00",NA,"1",33.152225,-115.830864,"WRSA","WADEABLE","CA","CAD00000","CAD07000","XE_SOUTH","Random","1","SS","LargeWadeable","SouthernXericBasin_LargeWadeable","SouthernXericBasin","Xeric",33.152965,-115.830298,NA,NA,210,"Sampled - Full Reach",0,58.3,0.18,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,0.31237941,NA,"CA_CSCI",NA,69,7460,251.7,179,34.6,NA,451.6,8.36,32.9,NA,NA,NA,NA,0,0,100,100,1,1,1,1,NA,NA,0,0,7,NA,NA,NA,NA,1.38,1.38,-1,0,100,1,0.18,0,79.01,7.13,NA,NA,0.09,NA,"NONE","ABSENT",NA,"2017/07/11 00:00:00","Initial import into Aquadat","{4839BE48-B345-48FA-B3B1-02601B12DF1E}",-115.830864,33.152225,TRUE
"23","XS-SS-6120","HORTON CREEK","BLM13-6120","11832","2013/06/30 00:00:00",NA,"1",37.3805,-118.5768,"WRSA","WADEABLE","CA","CAC00000","CAC07000","XE_SOUTH","Random","2","SS","SmallWadeable","SouthernXericBasin_SmallWadeable","SouthernXericBasin","Xeric",37.381,-118.5765,37.38,-118.5772,150,"Sampled - Full Reach",100,99,1.48,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,0.96260125,NA,"CA_CSCI",NA,401,350.5,169.7,7.9,22.8,34.3,97,3.87,16.9,NA,NA,NA,NA,8.667,0.504,26.4,NA,NA,NA,NA,NA,NA,NA,60,60,100,NA,NA,NA,NA,0.27,0.47,-0.51,0.85,NA,0.31,0.28,0,2.56,1.7,NA,NA,4.08,1.18,"NONE","ABSENT",NA,"2017/07/11 00:00:00","Initial import into Aquadat","{98878722-21C2-4252-B868-D9F00BF3E262}",-118.5768,37.3805,TRUE
"24","XS-SS-6132","Bairs Creek","BLM13-6132","8843016743","2015/07/08 00:00:00",NA,"1",36.692046,-118.225775,"WRSA","WADEABLE","CA","CAC00000","CAC07000","XE_SOUTH","Random","1","SS","SmallWadeable","SouthernXericBasin_SmallWadeable","SouthernXericBasin","Xeric",36.692519,-118.225202,36.691525,-118.226309,150,"Sampled - Full Reach",98,96.8,1.16,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,1.05712764,NA,"CA_CSCI",NA,401,50.2,175.9,7,18.4,40.4,151.5,6.2,12.3,NA,7.57,0.3,33.3,0,0,77.9,80.1,1,10,1,1,NA,NA,88,88,100,NA,NA,NA,NA,0.11,0.11,-1,0.28,117,NA,NA,0,3,1.54,NA,NA,6.81,1.01,"NONE","ABSENT",NA,"2017/07/11 00:00:00","Initial import into Aquadat","{4429B14E-EC37-4E81-ABCD-03B3B5A8697A}",-118.225775,36.6920460000001,TRUE
"25","XS-SS-6146","Slinkard Creek","BLM13-6146","5207424420","2014/06/10 00:00:00",NA,"1",38.641696,-119.54054,"WRSA","WADEABLE","CA","CAC00000","CAC07000","XE_SOUTH","Random","2","SS","SmallWadeable","SouthernXericBasin_SmallWadeable","SouthernXericBasin","Xeric",38.64188,-119.53982,38.641382,-119.541039,150,"Sampled - Full Reach",74.1,85,1.15,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,0.85124842,NA,"CA_CSCI",NA,401,122,164.1,51.9,41,245,155.8,8.37,14.5,NA,38.67,0.25,106.7,0,0,53.9,58.4,1,320,1,3,NA,NA,54,54,100,NA,NA,NA,NA,0.27,0.49,-0.5,0.94,138,0.46,0.25,0,3.3,1.94,NA,NA,6.23,1.26,"NONE","ABSENT",NA,"2017/07/11 00:00:00","Initial import into Aquadat","{B3E8491C-CD07-4366-84BE-ADE8E8A0DEE1}",-119.54054,38.641696,TRUE
