,index,ReachID,SiteID,Year,Date,BRLat,BRLong,BFWidth,Grad,RchLen,BF_WDRatio,BF_Height,RPD ,PctPool,Sin ,PctDry,BankAngle,D50,PoolTailFines2,PctFines2,PctFines6,LWD_Freq,LWD_Vol,Program,nvcs_ecosystem,nvcs_group,nvcs_macrogroup,nvcs_division,nvcs_formation,nvcs_subclass,nvcs_class,nvcs_date_checked
10,10,2419,903,2006.0,,45.040642999999996,-117.44119099999999,14.68,0.392,248.6,35.24,,1.2,56.96,3.392,,105.0,0.023,12.22,,,619.47,235.738,PIBO,Rocky Mountain Subalpine-Montane Riparian Woodland,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Flooded & Swamp Forest,Temperate Flooded & Swamp Forest,Temperate & Boreal Forest & Woodland,Forest & Woodland,2019-09-04T18:09:23.969580
11,11,1304,903,2001.0,,45.040642999999996,-117.44119099999999,12.56,0.39399999999999996,306.9,40.35,,0.68,50.99,3.2960000000000003,,100.0,0.021,,,,619.09,184.755,PIBO,Rocky Mountain Subalpine-Montane Riparian Woodland,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Flooded & Swamp Forest,Temperate Flooded & Swamp Forest,Temperate & Boreal Forest & Woodland,Forest & Woodland,2019-09-04T18:09:23.969580
12,12,1303,903,2002.0,,45.040642999999996,-117.44119099999999,15.03,0.382,308.7,27.49,,0.81,40.82,3.263,,95.0,0.040999999999999995,,,,586.33,273.686,PIBO,Rocky Mountain Subalpine-Montane Riparian Woodland,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Flooded & Swamp Forest,Temperate Flooded & Swamp Forest,Temperate & Boreal Forest & Woodland,Forest & Woodland,2019-09-04T18:09:23.969580
13,13,6190,903,2011.0,,45.040642999999996,-117.44119099999999,15.75,0.41,263.5,20.96,,0.78,34.38,3.156,,91.0,0.024,15.83,,,652.75,132.283,PIBO,Rocky Mountain Subalpine-Montane Riparian Woodland,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Flooded & Swamp Forest,Temperate Flooded & Swamp Forest,Temperate & Boreal Forest & Woodland,Forest & Woodland,2019-09-04T18:09:23.969580
14,14,5133,2740,2009.0,,44.737981,-111.746894,7.57,0.512,164.0,14.19,,0.51,85.79,3.083,,127.0,0.04,9.17,,,12.2,0.789,PIBO,Rocky Mountain Lower Montane Riparian Woodland and Shrubland,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Flooded & Swamp Forest,Temperate Flooded & Swamp Forest,Temperate & Boreal Forest & Woodland,Forest & Woodland,2019-09-04T18:09:27.594037
15,15,1984,903,2005.0,,45.040642999999996,-117.44119099999999,14.03,0.384,275.7,38.06,,0.71,64.42,3.063,,104.0,0.01,22.82,,,471.53,118.448,PIBO,Rocky Mountain Subalpine-Montane Riparian Woodland,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Flooded & Swamp Forest,Temperate Flooded & Swamp Forest,Temperate & Boreal Forest & Woodland,Forest & Woodland,2019-09-04T18:09:23.969580
16,16,318,254,2004.0,,46.108982,-113.680245,9.18,0.153,242.0,28.72,,1.17,94.75,3.04,,84.0,0.012,4.1,,,0.0,0.0,PIBO,"Northern Rocky Mountain Lower Montane, Foothill and Valley Grassland","Central Rocky Mountain Lower Montane, Foothill & Valley Grassland",Central Rocky Mountain Montane-Foothill Grassland & Shrubland,Western North American Grassland & Shrubland,Temperate Grassland & Shrubland,Temperate & Boreal Grassland & Shrubland,Shrub & Herb Vegetation,2019-09-04T18:09:28.424102
17,17,6642,903,2012.0,,45.040642999999996,-117.44119099999999,13.73,0.413,256.4,25.58,,0.58,58.54,2.9339999999999997,,86.0,0.032,13.75,,,1341.65,212.6,PIBO,Rocky Mountain Subalpine-Montane Riparian Woodland,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Flooded & Swamp Forest,Temperate Flooded & Swamp Forest,Temperate & Boreal Forest & Woodland,Forest & Woodland,2019-09-04T18:09:23.969580
18,18,5549,903,2010.0,,45.040642999999996,-117.44119099999999,17.7,0.39799999999999996,279.0,25.93,,0.58,48.28,2.928,,120.0,0.028999999999999998,25.73,,,655.91,142.52,PIBO,Rocky Mountain Subalpine-Montane Riparian Woodland,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Flooded & Swamp Forest,Temperate Flooded & Swamp Forest,Temperate & Boreal Forest & Woodland,Forest & Woodland,2019-09-04T18:09:23.969580
19,19,4316,903,2008.0,,45.040642999999996,-117.44119099999999,14.28,0.401,249.5,30.8,,0.65,48.02,2.8680000000000003,,99.0,0.0195,,,,817.64,287.89599999999996,PIBO,Rocky Mountain Subalpine-Montane Riparian Woodland,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Flooded & Swamp Forest,Temperate Flooded & Swamp Forest,Temperate & Boreal Forest & Woodland,Forest & Woodland,2019-09-04T18:09:23.969580
20,20,6555,278,2012.0,,46.276108,-114.341504,12.93,0.272,261.3,17.3,,0.67,85.27,2.846,,101.0,0.024,6.1,,,3467.28,491.68300000000005,PIBO,Northern Rocky Mountain Lower Montane Riparian Woodland and Shrubland,Rocky Mountain & Great Basin Lowland & Foothill Riparian Shrubland,"Western North American Montane-Subalpine Marsh, Wet Meadow & Shrubland","Western North American Freshwater-Marsh, Wet Meadow & Shrubland","Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland",Shrub & Herb Wetland,Shrub & Herb Vegetation,2019-09-04T18:09:29.436004
21,21,7666,3236,2013.0,,45.58991437270001,-115.8567693,4.74,0.239,138.0,5.97,,0.69,96.59,2.799,,106.0,0.005,65.6,,,231.88,78.118,PIBO,Rocky Mountain Alpine-Montane Wet Meadow,Vancouverian & Rocky Mountain Montane Wet Meadow & Marsh,"Western North American Montane-Subalpine Marsh, Wet Meadow & Shrubland","Western North American Freshwater-Marsh, Wet Meadow & Shrubland","Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland",Shrub & Herb Wetland,Shrub & Herb Vegetation,2019-09-04T18:09:30.368786
22,22,7715,3399,2013.0,,44.2617536712,-119.28019793600001,4.17,0.27,133.3,8.84,,0.34,71.87,2.7539999999999996,,99.0,0.006,37.83,,,120.03,2.847,PIBO,Rocky Mountain Alpine-Montane Wet Meadow,Vancouverian & Rocky Mountain Montane Wet Meadow & Marsh,"Western North American Montane-Subalpine Marsh, Wet Meadow & Shrubland","Western North American Freshwater-Marsh, Wet Meadow & Shrubland","Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland",Shrub & Herb Wetland,Shrub & Herb Vegetation,2019-09-04T18:09:31.223712
23,23,4861,254,2009.0,,46.108982,-113.680245,8.64,0.184,222.7,13.52,,0.92,87.74,2.716,,99.0,0.019,1.33,,,0.0,0.0,PIBO,"Northern Rocky Mountain Lower Montane, Foothill and Valley Grassland","Central Rocky Mountain Lower Montane, Foothill & Valley Grassland",Central Rocky Mountain Montane-Foothill Grassland & Shrubland,Western North American Grassland & Shrubland,Temperate Grassland & Shrubland,Temperate & Boreal Grassland & Shrubland,Shrub & Herb Vegetation,2019-09-04T18:09:28.424102
24,24,348,278,2002.0,,46.276108,-114.341504,11.95,0.259,254.5,29.18,,0.7,81.3,2.707,,84.0,0.011000000000000001,,,,1583.5,1546.239,PIBO,Northern Rocky Mountain Lower Montane Riparian Woodland and Shrubland,Rocky Mountain & Great Basin Lowland & Foothill Riparian Shrubland,"Western North American Montane-Subalpine Marsh, Wet Meadow & Shrubland","Western North American Freshwater-Marsh, Wet Meadow & Shrubland","Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland",Shrub & Herb Wetland,Shrub & Herb Vegetation,2019-09-04T18:09:29.436004
25,25,3998,2220,2007.0,,45.040733,-111.938846,2.7,1.235,170.0,9.03,,0.21,46.65,2.698,,108.0,0.018000000000000002,30.45,,,0.0,0.0,PIBO,Rocky Mountain Lower Montane Riparian Woodland and Shrubland,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Flooded & Swamp Forest,Temperate Flooded & Swamp Forest,Temperate & Boreal Forest & Woodland,Forest & Woodland,2019-09-04T18:09:32.023166
26,26,6511,2,2012.0,,48.463302,-119.688202,9.69,1.879,121.9,12.41,,0.0,0.0,2.673,,109.0,0.19899999999999998,,,,131.26,16.333,PIBO,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Central Rocky Mountain Douglas-fir - Pine Forest,Central Rocky Mountain Dry Lower Montane-Foothill Forest,Rocky Mountain Cool Temperate Forest & Woodland,Cool Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland,2019-09-04T18:09:32.717729
27,27,6305,1935,2011.0,,44.899349,-113.425751,4.23,1.209,165.4,14.47,,0.26,66.38,2.63,,83.0,0.046,2.67,,,18.14,1.995,PIBO,Rocky Mountain Lodgepole Pine Forest,Rocky Mountain Lodgepole Pine Forest & Woodland,Rocky Mountain Subalpine-High Montane Conifer Forest,Rocky Mountain Cool Temperate Forest & Woodland,Cool Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland,2019-09-04T18:09:33.550844
28,28,3807,278,2007.0,,46.276108,-114.341504,12.95,0.244,257.9,21.06,,0.68,88.41,2.616,,81.0,0.022000000000000002,6.95,,,2547.5,564.65,PIBO,Northern Rocky Mountain Lower Montane Riparian Woodland and Shrubland,Rocky Mountain & Great Basin Lowland & Foothill Riparian Shrubland,"Western North American Montane-Subalpine Marsh, Wet Meadow & Shrubland","Western North American Freshwater-Marsh, Wet Meadow & Shrubland","Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland",Shrub & Herb Wetland,Shrub & Herb Vegetation,2019-09-04T18:09:29.436004
29,29,6801,2220,2012.0,,45.040733,-111.938846,3.03,1.272,164.3,6.9,,0.23,51.73,2.608,,110.0,0.022000000000000002,56.89,,,0.0,0.0,PIBO,Rocky Mountain Lower Montane Riparian Woodland and Shrubland,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Flooded & Swamp Forest,Temperate Flooded & Swamp Forest,Temperate & Boreal Forest & Woodland,Forest & Woodland,2019-09-04T18:09:32.023166
30,30,4514,2601,2008.0,,44.88244,-111.624948,5.51,0.17,170.1,16.91,,0.54,68.37,2.605,,112.0,0.0155,17.31,,,170.49,58.56399999999999,PIBO,Rocky Mountain Lower Montane Riparian Woodland and Shrubland,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Flooded & Swamp Forest,Temperate Flooded & Swamp Forest,Temperate & Boreal Forest & Woodland,Forest & Woodland,2019-09-04T18:09:34.425585
31,31,211,170,2004.0,,48.802878,-114.645354,4.91,0.7490000000000001,169.5,24.32,,0.4,82.36,2.592,,84.0,0.022000000000000002,5.42,,,483.78,121.10700000000001,PIBO,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Rocky Mountain Subalpine Dry-Mesic Spruce - Fir Forest & Woodland,Rocky Mountain Subalpine-High Montane Conifer Forest,Rocky Mountain Cool Temperate Forest & Woodland,Cool Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland,2019-09-04T18:09:34.959593
32,32,7711,3395,2013.0,,44.1996608206,-119.43835418799999,5.4,0.738,132.8,12.7,,0.32,66.27,2.574,,119.0,0.018000000000000002,30.95,,,233.43,52.27,PIBO,Northern Rocky Mountain Lower Montane Riparian Woodland and Shrubland,Rocky Mountain & Great Basin Lowland & Foothill Riparian Shrubland,"Western North American Montane-Subalpine Marsh, Wet Meadow & Shrubland","Western North American Freshwater-Marsh, Wet Meadow & Shrubland","Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland",Shrub & Herb Wetland,Shrub & Herb Vegetation,2019-09-04T18:09:35.725381
33,33,564,425,2001.0,,45.305764,-115.02793100000001,4.61,0.452,123.9,23.2,,0.34,65.13,2.549,,105.0,0.026000000000000002,,,,96.85,72.465,PIBO,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Central Rocky Mountain Montane-Foothill Deciduous Shrubland,Central Rocky Mountain Montane-Foothill Grassland & Shrubland,Western North American Grassland & Shrubland,Temperate Grassland & Shrubland,Temperate & Boreal Grassland & Shrubland,Shrub & Herb Vegetation,2019-09-04T18:09:36.513407
34,34,5036,927,2009.0,,44.84081,-118.137496,5.16,0.5539999999999999,177.0,8.59,,0.52,88.76,2.543,,77.0,0.002,44.24,,,677.97,197.433,PIBO,Rocky Mountain Subalpine-Montane Riparian Woodland,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Flooded & Swamp Forest,Temperate Flooded & Swamp Forest,Temperate & Boreal Forest & Woodland,Forest & Woodland,2019-09-04T18:09:37.986378
35,35,6273,1913,2011.0,,45.647963,-104.250638,3.08,0.455,167.0,8.02,,0.36,50.9,2.523,,123.0,0.002,,,,17.96,6.534,PIBO,Inter-Mountain Basins Big Sagebrush Steppe,Intermountain Dry Tall Sagebrush Stepp & Shrubland,Great Basin-Intermountain Tall Sagebrush Steppe & Shrubland,Western North American Cool Semi-Desert Scrub & Grassland,Cool Semi-Desert Scrub & Grassland,Cool Semi-Desert Scrub & Grassland,Desert & Semi-Desert,2019-09-04T18:09:38.811681
36,36,4228,2671,2008.0,,43.743837,-113.851676,,,120.0,,,0.0,0.0,2.508,,,,,,,,,PIBO,Rocky Mountain Subalpine-Montane Fen,Rocky Mountain Acidic Fen,North American Boreal & Sub-Boreal Acidic Bog & Fen,North American Bog & Fen,Temperate to Polar Bog & Fen,Shrub & Herb Wetland,Shrub & Herb Vegetation,2019-09-04T18:09:39.524313
37,37,591,442,2001.0,,45.34706,-115.25303000000001,,0.633,131.1,14.0,,0.45,73.91,2.5069999999999997,,87.0,0.025,,,,419.53,100.47200000000001,PIBO,Rocky Mountain Lower Montane Riparian Woodland and Shrubland,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Flooded & Swamp Forest,Temperate Flooded & Swamp Forest,Temperate & Boreal Forest & Woodland,Forest & Woodland,2019-09-04T18:09:40.795532
38,38,2514,1913,2006.0,,45.647963,-104.250638,3.4,0.527,165.2,9.64,,0.0,0.0,2.503,,130.0,0.002,,,,18.16,9.437000000000001,PIBO,Inter-Mountain Basins Big Sagebrush Steppe,Intermountain Dry Tall Sagebrush Stepp & Shrubland,Great Basin-Intermountain Tall Sagebrush Steppe & Shrubland,Western North American Cool Semi-Desert Scrub & Grassland,Cool Semi-Desert Scrub & Grassland,Cool Semi-Desert Scrub & Grassland,Desert & Semi-Desert,2019-09-04T18:09:38.811681
39,39,1307,903,2004.0,,45.040642999999996,-117.44119099999999,10.56,0.35100000000000003,247.7,29.13,,0.61,45.01,2.475,,103.0,0.035,18.22,,,363.34,118.863,PIBO,Rocky Mountain Subalpine-Montane Riparian Woodland,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Flooded & Swamp Forest,Temperate Flooded & Swamp Forest,Temperate & Boreal Forest & Woodland,Forest & Woodland,2019-09-04T18:09:23.969580
40,40,736,547,2001.0,,43.674893,-113.693221,6.65,1.09,124.8,22.19,,0.38,54.89,2.471,,120.0,0.035,,,,176.28,12.536,PIBO,Rocky Mountain Subalpine-Montane Mesic Meadow,Rocky Mountain Subalpine-Montane Mesic Grassland & Meadow,Rocky Mountain-Vancouverian Subalpine-High Montane Mesic Meadow,Western North American Grassland & Shrubland,Temperate Grassland & Shrubland,Temperate & Boreal Grassland & Shrubland,Shrub & Herb Vegetation,2019-09-04T18:09:41.378695
41,41,6479,3227,2012.0,,44.7647888889,-118.783363889,4.21,0.324,129.8,7.17,,0.34,61.56,2.458,,99.0,0.003,48.53,,,223.42,42.396,PIBO,Rocky Mountain Lodgepole Pine Forest,Rocky Mountain Lodgepole Pine Forest & Woodland,Rocky Mountain Subalpine-High Montane Conifer Forest,Rocky Mountain Cool Temperate Forest & Woodland,Cool Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland,2019-09-04T18:09:42.321175
42,42,5109,2699,2009.0,,45.531622,-111.886435,8.44,0.49700000000000005,175.2,15.24,,0.59,51.94,2.447,,87.0,0.017,5.89,,,251.14,18.964000000000002,PIBO,Rocky Mountain Lower Montane Riparian Woodland and Shrubland,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Flooded & Swamp Forest,Temperate Flooded & Swamp Forest,Temperate & Boreal Forest & Woodland,Forest & Woodland,2019-09-04T18:09:42.982778
43,43,4822,166,2009.0,,48.379653999999995,-114.70988200000001,7.45,0.005,205.6,7.35,,1.22,88.13,2.445,,84.0,0.002,98.8,,,145.91,54.692,PIBO,Northern Rocky Mountain Lower Montane Riparian Woodland and Shrubland,Rocky Mountain & Great Basin Lowland & Foothill Riparian Shrubland,"Western North American Montane-Subalpine Marsh, Wet Meadow & Shrubland","Western North American Freshwater-Marsh, Wet Meadow & Shrubland","Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland",Shrub & Herb Wetland,Shrub & Herb Vegetation,2019-09-04T18:09:43.794470
44,44,207,166,2004.0,,48.379653999999995,-114.70988200000001,7.61,0.019,209.0,11.58,,1.28,100.0,2.444,,90.0,0.002,99.83,,,119.62,44.768,PIBO,Northern Rocky Mountain Lower Montane Riparian Woodland and Shrubland,Rocky Mountain & Great Basin Lowland & Foothill Riparian Shrubland,"Western North American Montane-Subalpine Marsh, Wet Meadow & Shrubland","Western North American Freshwater-Marsh, Wet Meadow & Shrubland","Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland",Shrub & Herb Wetland,Shrub & Herb Vegetation,2019-09-04T18:09:43.794470
45,45,5663,1533,2010.0,,45.808061,-115.528733,13.44,0.43799999999999994,324.5,19.25,,0.87,53.47,2.423,,125.0,0.0525,4.5,,,61.63,5.249,PIBO,"Quarries, Mines, Gravel Pits and Oil Wells",Current and Historic Mining Activity,"Quarries, Mines, Gravel Pits and Oil Wells","Quarries, Mines, Gravel Pits and Oil Wells",Current and Historic Mining Activity,Current and Historic Mining Activity,Developed & Other Human Use,2019-09-04T18:09:44.613426
46,46,2540,1935,2006.0,,44.899349,-113.425751,3.27,1.157,171.1,17.45,,0.3,53.83,2.417,,96.0,0.046,7.91,,,11.69,1.3319999999999999,PIBO,Rocky Mountain Lodgepole Pine Forest,Rocky Mountain Lodgepole Pine Forest & Woodland,Rocky Mountain Subalpine-High Montane Conifer Forest,Rocky Mountain Cool Temperate Forest & Woodland,Cool Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland,2019-09-04T18:09:33.550844
47,47,1337,927,2004.0,,44.84081,-118.137496,5.19,0.597,169.1,17.45,,0.52,90.24,2.405,,88.0,0.002,39.61,,,496.75,267.504,PIBO,Rocky Mountain Subalpine-Montane Riparian Woodland,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Flooded & Swamp Forest,Temperate Flooded & Swamp Forest,Temperate & Boreal Forest & Woodland,Forest & Woodland,2019-09-04T18:09:37.986378
48,48,3848,769,2007.0,,45.256165,-116.073796,11.86,0.039,255.5,15.64,,0.9,71.23,2.401,,88.0,0.002,77.29,,,1812.13,489.626,PIBO,Rocky Mountain Lodgepole Pine Forest,Rocky Mountain Lodgepole Pine Forest & Woodland,Rocky Mountain Subalpine-High Montane Conifer Forest,Rocky Mountain Cool Temperate Forest & Woodland,Cool Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland,2019-09-04T18:09:45.470004
49,49,2098,1533,2005.0,,45.808061,-115.528733,11.59,0.45,304.4,25.91,,0.81,71.98,2.38,,130.0,0.043,29.9,,,32.85,5.311,PIBO,"Quarries, Mines, Gravel Pits and Oil Wells",Current and Historic Mining Activity,"Quarries, Mines, Gravel Pits and Oil Wells","Quarries, Mines, Gravel Pits and Oil Wells",Current and Historic Mining Activity,Current and Historic Mining Activity,Developed & Other Human Use,2019-09-04T18:09:44.613426
50,50,5101,1171,2009.0,,42.325978000000006,-113.01120900000001,5.39,0.467,175.5,14.4,,0.24,47.58,2.372,,134.0,0.002,33.48,,,0.0,0.0,PIBO,Inter-Mountain Basins Big Sagebrush Shrubland,Intermountain Mesic Tall Sagebrush Steppe & Shrubland,Great Basin-Intermountain Tall Sagebrush Steppe & Shrubland,Western North American Cool Semi-Desert Scrub & Grassland,Cool Semi-Desert Scrub & Grassland,Cool Semi-Desert Scrub & Grassland,Desert & Semi-Desert,2019-09-04T18:09:46.001134
51,51,401,327,2001.0,,46.915817,-116.403426,2.33,0.835,81.4,5.22,,0.29,59.83,2.366,,58.0,0.004,,,,73.71,3.4789999999999996,PIBO,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Central Rocky Mountain Douglas-fir - Pine Forest,Central Rocky Mountain Dry Lower Montane-Foothill Forest,Rocky Mountain Cool Temperate Forest & Woodland,Cool Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland,2019-09-04T18:09:46.815409
