SiteID,RchID,Stream,Yr,Project,Type,PanelYr,HUC6,SiteName,Group,Order,Region,Forest,District,State,Lat,Long,FedPct,Mgmt,StrmFlow,Area,Elev,AvgPrecip,TotalIndex,Cond,Bf,RchLen,Grad,Sin,PoolDp,PoolFrq,PoolPct,WDTrans,WDWetTrans,D50,PTFines2,PTFines6,Stab,VegStab,BankAngle,UnCutPct,LWFrq,LWVol
903,1303,Eagle,2002,CRB,IS,5,1.71E+11,139-12-IS,139,12,R6,Wallowa-Whitman,Whitman ,OR,45.040643,-117.441191,100,Managed,,59.12,1448.4,1.409,61.67563113,40,15.03,308.7,0.382,3.263,0.81,12.96,40.82,27.49,42.98,0.041,,25.09,94.12,72.55,95,46.51,586.33,273.686
903,6190,Eagle,2011,CRB,IS,5,1.71E+11,139-12-IS,139,12,R6,Wallowa-Whitman,Whitman ,OR,45.040643,-117.441191,100,Managed,Flow (whole reach),59.12,1448.4,1.409,57.95069419,20,15.75,263.5,0.41,3.156,0.78,15.18,34.38,20.96,31.51,0.024,15.83,18.83,92.86,47.62,91,51.52,652.75,132.283
2740,5133,W.F. Madison,2009,MRB,I,4,1.00E+11,298-08-I,298,8,R1,Beaverhead-Deerlodge,Madison,MT,44.737981,-111.746894,98.21,Managed,Flow (whole reach),110.08,2079,0.826,36.69414972,170,7.57,164,0.512,3.083,0.51,48.78,85.79,14.19,17.96,0.04,9.17,11.42,90.48,47.62,127,18.92,12.2,0.789
903,1984,Eagle,2005,CRB,IS,5,1.71E+11,139-12-IS,139,12,R6,Wallowa-Whitman,Whitman ,OR,45.040643,-117.441191,100,Managed,,59.12,1448.4,1.409,47.02699147,30,14.03,275.7,0.384,3.063,0.71,18.14,64.42,38.06,93.64,0.01,22.82,26.05,100,82.61,104,39.02,471.53,118.448
254,318,Ross Fork of Rock,2004,CRB,I,4,1.70E+11,054-20-I,54,20,R1,Beaverhead-Deerlodge,Pintler,MT,46.108982,-113.680245,100,Managed,,41.69,1906.8,0.926,71.5509943,10,9.18,242,0.153,3.04,1.17,28.93,94.75,28.72,46.94,0.012,4.1,10.1,92,70,84,52.27,0,0
903,6642,Eagle,2012,CRB,IS,5,1.71E+11,139-12-IS,139,12,R6,Wallowa-Whitman,Whitman ,OR,45.040643,-117.441191,100,Managed,Flow (whole reach),59.12,1448.4,1.409,62.51745769,30,13.73,256.4,0.413,2.934,0.58,31.2,58.54,25.58,43.33,0.032,13.75,32.75,92.86,66.67,86,64.71,1341.65,212.6
903,5549,Eagle,2010,CRB,IS,5,1.71E+11,139-12-IS,139,12,R6,Wallowa-Whitman,Whitman ,OR,45.040643,-117.441191,100,Managed,Flow (whole reach),59.12,1448.4,1.409,39.19902052,20,17.7,279,0.398,2.928,0.58,28.67,48.28,25.93,44.81,0.029,25.73,32.25,71.74,30.43,120,22.22,655.91,142.52
903,4316,Eagle,2008,CRB,IS,5,1.71E+11,139-12-IS,139,12,R6,Wallowa-Whitman,Whitman ,OR,45.040643,-117.441191,100,Managed,Flow (whole reach),59.12,1448.4,1.409,,20,14.28,249.5,0.401,2.868,0.65,16.03,48.02,30.8,66.85,0.0195,,,92.86,57.14,99,30.95,817.64,287.896
278,6555,Blodgett,2012,CRB,I,2,1.70E+11,058-07-I,58,7,R1,Bitterroot,Stevensville,MT,46.276108,-114.341504,99.21,Reference,Flow (whole reach),38.62,1650,1.444,75.28059568,0,12.93,261.3,0.272,2.846,0.67,26.79,85.27,17.3,29.06,0.024,6.1,13.14,100,92.86,101,35.71,3467.28,491.683
3236,7666,Anchor,2013,CRB,K,3,1.71E+11,088-10-K,88,10,R1,Nez Perce,Salmon River,Idaho,45.58991437,-115.8567693,,Managed,Flow (whole reach),3.16377,2246,1.30201,,10,4.74,138,0.239,2.799,0.69,50.72,96.59,5.97,8.3,0.005,65.6,74.28,100,86.96,106,33.33,231.88,78.118
3399,7715,Mid Murderers,2013,SPCL,K,3,1.71E+11,528-09-K,528,9,R6,Malheur,Blue Mountain,Oregon,44.26175367,-119.2801979,,Managed,Flow (whole reach),48.6796,1528,0.454747,,530,4.17,133.3,0.27,2.754,0.34,112.53,71.87,8.84,13.61,0.006,37.83,52.81,97.73,95.45,99,50,120.03,2.847
254,4861,Ross Fork of Rock,2009,CRB,I,4,1.70E+11,054-20-I,54,20,R1,Beaverhead-Deerlodge,Pintler,MT,46.108982,-113.680245,100,Managed,Flow (whole reach),41.69,1906.8,0.926,65.1009454,20,8.64,222.7,0.184,2.716,0.92,35.92,87.74,13.52,18.92,0.019,1.33,7.84,80.43,69.57,99,43.48,0,0
278,348,Blodgett,2002,CRB,I,2,1.70E+11,058-07-I,58,7,R1,Bitterroot,Stevensville,MT,46.276108,-114.341504,99.21,Reference,,38.62,1650,1.444,67.69421187,0,11.95,254.5,0.259,2.707,0.7,27.5,81.3,29.18,67.88,0.011,,25.36,81.82,61.36,84,61.76,1583.5,1546.239
2220,3998,M.F. Warm Springs,2007,MRB,I,2,1.00E+11,217-11-I,217,11,R1,Beaverhead-Deerlodge,Madison,MT,45.040733,-111.938846,100,Managed,Flow (whole reach),53.57,1897.5,0.723,12.25675643,310,2.7,170,1.235,2.698,0.21,76.47,46.65,9.03,36.17,0.018,30.45,32.92,90.48,80.95,108,30,0,0
2,6511,Salmon,2012,CRB,K,2,1.70E+11,004-05-K,4,5,OR-WA BLM,Spokane,Wenatchee,WA,48.463302,-119.688202,75.79,Managed,Flow (whole reach),346.38,513.7,0.552,,100,9.69,121.9,1.879,2.673,0,0,0,12.41,16.83,0.199,,,92.5,60,109,35.9,131.26,16.333
1935,6305,Bear,2011,MRB,I,1,1.00E+11,219-12-I,219,12,R1,Beaverhead-Deerlodge,Dillon,MT,44.899349,-113.425751,99.98,Managed,Flow (whole reach),14.56,2218.6,0.693,68.53645248,40,4.23,165.4,1.209,2.63,0.26,96.74,66.38,14.47,18.31,0.046,2.67,7.09,92.5,67.5,83,57.89,18.14,1.995
278,3807,Blodgett,2007,CRB,I,2,1.70E+11,058-07-I,58,7,R1,Bitterroot,Stevensville,MT,46.276108,-114.341504,99.21,Reference,Flow (whole reach),38.62,1650,1.444,82.58383561,,12.95,257.9,0.244,2.616,0.68,31.02,88.41,21.06,48.25,0.022,6.95,21.13,90.91,43.18,81,59.09,2547.5,564.65
2220,6801,M.F. Warm Springs,2012,MRB,I,2,1.00E+11,217-11-I,217,11,R1,Beaverhead-Deerlodge,Madison,MT,45.040733,-111.938846,100,Managed,Flow (whole reach),53.57,1897.5,0.723,11.63449197,300,3.03,164.3,1.272,2.608,0.23,97.38,51.73,6.9,15.57,0.022,56.89,57.56,90,70,110,32.5,0,0
2601,4514,Gazelle,2008,MRB,I,3,1.00E+11,216-06-I,216,6,R1,Beaverhead-Deerlodge,Madison,MT,44.88244,-111.624948,100,Managed,Flow (whole reach),24.77,2043,0.795,47.30691229,90,5.51,170.1,0.17,2.605,0.54,64.67,68.37,16.91,44.69,0.0155,17.31,27.9,93.18,84.09,112,29.55,170.49,58.564
170,211,Shorty,2004,CRB,I,4,1.70E+11,038-06-I,38,6,R1,Flathead,Glacier View,MT,48.802878,-114.645354,99.97,Reference,,6.14,1644.9,1.641,82.59317486,60,4.91,169.5,0.749,2.592,0.4,59,82.36,24.32,40.18,0.022,5.42,17,92.86,52.38,84,50,483.78,121.107
3395,7711,Lower Deer Creek,2013,SPCL,K,3,1.71E+11,528-05-K,528,5,R6,Malheur,Blue Mountain,Oregon,44.19966082,-119.4383542,,Managed,Flow (whole reach),99.693,1569,0.43867,,460,5.4,132.8,0.738,2.574,0.32,75.3,66.27,12.7,24.19,0.018,30.95,33.04,93.18,81.82,119,25,233.43,52.27
425,564,Whimstick,2001,CRB,I,1,1.71E+11,086-17-I,86,17,R4,Payette,Krassel,ID,45.305764,-115.027931,100,Reference,,65.21,1711.9,0.781,,30,4.61,123.9,0.452,2.549,0.34,72.64,65.13,23.2,32,0.026,,,90.24,73.17,105,35.29,96.85,72.465
927,5036,Rock,2009,CRB,I,4,1.71E+11,144-07-I,144,7,R6,Wallowa-Whitman,Whitman ,OR,44.84081,-118.137496,100,Managed,Flow (whole reach),7.27,1970.1,0.909,64.37566097,30,5.16,177,0.554,2.543,0.52,90.4,88.76,8.59,13.54,0.002,44.24,50.81,97.73,93.18,77,65.91,677.97,197.433
1913,6273,Speelmon,2011,MRB,I,1,1.01E+11,201-05-I,201,5,R1,Custer,Sioux,MT,45.647963,-104.250638,97.02,Managed,Flow (whole reach),25.47,1036.6,0.399,,690,3.08,167,0.455,2.523,0.36,41.92,50.9,8.02,6,0.002,,,95,57.5,123,2.5,17.96,6.534
2671,4228,Lake,2008,CRB,K,3,1.70E+11,100-09-K,100,9,R4,Salmon-Challis,Lost River,ID,43.743837,-113.851676,100,Managed,Flow (whole reach),19,2657,0.77,,,,120,,2.508,0,0,0,,0,,,,,,,,,
442,591,Moose,2001,CRB,IS,3,1.71E+11,087-13-IS,87,13,R4,Payette,Krassel,ID,45.34706,-115.25303,100,Reference,,33.54,1847.5,0.929,,40,,131.1,0.633,2.507,0.45,53.39,73.91,14,0,0.025,,,75,75,87,60.61,419.53,100.472
1913,2514,Speelmon,2006,MRB,I,1,1.01E+11,201-05-I,201,5,R1,Custer,Sioux,MT,45.647963,-104.250638,97.02,Managed,No flow (dry),25.47,1036.6,0.399,,,3.4,165.2,0.527,2.503,0,0,0,9.64,0,0.002,,,100,30.95,130,0,18.16,9.437
903,1307,Eagle,2004,CRB,IS,5,1.71E+11,139-12-IS,139,12,R6,Wallowa-Whitman,Whitman ,OR,45.040643,-117.441191,100,Managed,,59.12,1448.4,1.409,46.26610902,20,10.56,247.7,0.351,2.475,0.61,12.11,45.01,29.13,45.96,0.035,18.22,30.44,100,78.57,103,27.27,363.34,118.863
547,736,Bear,2001,CRB,I,1,1.70E+11,099-12-I,99,12,R4,Salmon-Challis,Lost River,ID,43.674893,-113.693221,100,Managed,,45.79,2008,0.601,,100,6.65,124.8,1.09,2.471,0.38,40.06,54.89,22.19,31.03,0.035,,,90,67.5,120,30.77,176.28,12.536
3227,6479,Deadwood,2012,CRB,K,5,1.71E+11,153-12-K,153,12,R6,Malheur,Blue Mountain,OR,44.76478889,-118.7833639,99.55255263,Managed,Flow (whole reach),18.18024688,1287.952759,0.68822,12.49182472,50,4.21,129.8,0.324,2.458,0.34,84.75,61.56,7.17,9.67,0.003,48.53,87.37,100,95.24,99,36.59,223.42,42.396
2699,5109,North Meadow,2009,MRB,I,4,1.00E+11,221-10-I,221,10,R1,Beaverhead-Deerlodge,Madison ,MT,45.531622,-111.886435,100,Managed,Flow (whole reach),25.67,2032,1.038,65.47331321,30,8.44,175.2,0.497,2.447,0.59,34.25,51.94,15.24,19.57,0.017,5.89,12.06,97.73,95.45,87,50,251.14,18.964
166,4822,Sheppard,2009,CRB,I,4,1.70E+11,037-18-I,37,18,R1,Flathead,Tally Lake,MT,48.379654,-114.709882,96.73,Managed,Flow (whole reach),87.83,1220.3,0.681,51.17850447,150,7.45,205.6,0.005,2.445,1.22,29.18,88.13,7.35,9.79,0.002,98.8,99.7,85.71,85.71,84,50,145.91,54.692
166,207,Sheppard,2004,CRB,I,4,1.70E+11,037-18-I,37,18,R1,Flathead,Tally Lake,MT,48.379654,-114.709882,96.73,Managed,,87.83,1220.3,0.681,48.23525922,180,7.61,209,0.019,2.444,1.28,19.14,100,11.58,18.68,0.002,99.83,99.83,97.62,95.24,90,40.48,119.62,44.768
1533,5663,Crooked 1,2010,CNTRCT,I,5,1.71E+11,506-08-I,506,8,R1,Nez Perce,Red River,ID,45.808061,-115.528733,98.47,Managed,Flow (whole reach),180.08,1177.6,1.044,34.39363847,20,13.44,324.5,0.438,2.423,0.87,18.49,53.47,19.25,26.73,0.0525,4.5,7.5,100,91.67,125,14.89,61.63,5.249
1935,2540,Bear,2006,MRB,I,1,1.00E+11,219-12-I,219,12,R1,Beaverhead-Deerlodge,Dillon,MT,44.899349,-113.425751,99.98,Managed,Flow (whole reach),14.56,2218.6,0.693,57.54155689,50,3.27,171.1,1.157,2.417,0.3,64.29,53.83,17.45,37.1,0.046,7.91,9.65,88.64,86.36,96,46.51,11.69,1.332
927,1337,Rock,2004,CRB,I,4,1.71E+11,144-07-I,144,7,R6,Wallowa-Whitman,Whitman ,OR,44.84081,-118.137496,100,Managed,,7.27,1970.1,0.909,56.09208859,40,5.19,169.1,0.597,2.405,0.52,82.79,90.24,17.45,25.38,0.002,39.61,54,100,90.48,88,47.5,496.75,267.504
769,3848,Little French,2007,CRB,I,2,1.71E+11,122-04-I,122,4,R4,Payette,New Meadows,ID,45.256165,-116.073796,100,Managed,Flow (whole reach),47.5,1846.7,1.391,47.16010058,20,11.86,255.5,0.039,2.401,0.9,15.66,71.23,15.64,63.03,0.002,77.29,77.86,77.27,65.91,88,50,1812.13,489.626
1533,2098,Crooked 1,2005,CNTRCT,I,5,1.71E+11,506-08-I,506,8,R1,Nez Perce,Red River,ID,45.808061,-115.528733,98.47,Managed,,180.08,1177.6,1.044,27.36637203,20,11.59,304.4,0.45,2.38,0.81,26.28,71.98,25.91,64.88,0.043,29.9,40.38,100,83.72,130,11.63,32.85,5.311
1171,5101,Sublett,2009,CRB,IKS,5,1.70E+11,177-09-IKS,177,9,R4,Sawtooth,Minidoka,ID,42.325978,-113.011209,100,Managed,Flow (whole reach),70.44,1644.2,0.652,0,380,5.39,175.5,0.467,2.372,0.24,68.38,47.58,14.4,18.82,0.002,33.48,51.61,97.73,97.73,134,16.67,0,0
327,401,Feather,2001,CRB,I,1,1.71E+11,067-16-I,67,16,R1,Clearwater,Palouse,ID,46.915817,-116.403426,77.99,Managed,,13.76,884.1,1.063,,40,2.33,81.4,0.835,2.366,0.29,86,59.83,5.22,14.9,0.004,,,97.62,97.62,58,81.58,73.71,3.479
425,6086,Whimstick,2011,CRB,I,1,1.71E+11,086-17-I,86,17,R4,Payette,Krassel,ID,45.305764,-115.027931,100,Reference,Flow (whole reach),65.21,1711.9,0.781,43.01709012,50,4.56,170.1,0.382,2.356,0.51,47.03,76.6,11.1,17.47,0.012,13.94,38.29,97.62,88.1,95,48.78,158.73,108.704
947,1371,Trout,2003,CRB,I,3,1.71E+11,145-11-I,145,11,R6,Wallowa-Whitman,Whitman ,OR,44.652812,-118.253047,99.9,Managed,,58.12,1276.4,0.563,47.16316774,160,2.48,166.5,0.607,2.342,0.35,60.06,73.39,14.31,37.28,0.012,10.43,14.86,95.24,92.86,107,31.71,156.16,49.277
3396,7712,S.F. Murderers,2013,SPCL,K,3,1.71E+11,528-06-K,528,6,R6,Malheur,Blue Mountain,Oregon,44.2301096,-119.3224036,,Managed,Flow (whole reach),12.2223,1512,0.418024,,530,2.75,129.2,0.604,2.341,0.3,131.58,43.42,7.91,6.15,0.002,92.57,93.27,100,100,99,33.33,0,0
1860,2358,Rock,2006,CRB,I,1,1.71E+11,121-08-I,121,8,R4,Boise,Cascade,ID,44.636663,-115.543675,100,Managed,Flow (whole reach),18.81,2023.7,1.36,11.19468216,30,4.2,169,0.03,2.331,0.41,71.01,79.11,9.14,29.9,0.005,25.73,65.2,95.24,88.1,94,29.27,0,0
600,806,Meridian,2003,CRB,IS,5,1.71E+11,108-13-IS,108,13,R4,Salmon-Challis,Challis Yankee,ID,43.983801,-114.263328,100,Reference,,19.57,2367.4,0.725,42.78497784,110,3.03,161.5,1.183,2.324,0.32,80.5,55.23,18.21,75,0.058,3.39,5.94,90,75,122,15.38,6.19,0.126
1342,1864,Howard,2005,CRB,I,5,1.71E+11,075-06-I,75,6,R1,Clearwater,Powell,ID,46.535576,-115.060369,100,Managed,,1.11,1836.9,1.609,32.77563791,10,2.18,169.3,0.709,2.316,0.38,129.95,86.12,5.56,20.63,0.002,94.21,98.74,95.24,76.19,70,69.05,206.73,48.951
2609,4522,Sage,2008,MRB,I,3,1.01E+11,204-04-I,204,4,R1,Custer,Beartooth,MT,45.212299,-108.553103,51.99,Managed,Flow (whole reach),64.46,1688,0.497,16.37876707,370,2.6,165,0.776,2.308,0.47,66.67,73.52,7.16,8.78,0.002,71.3,85.91,100,92.86,119,10,6.06,0.105
1426,5537,N.F. Touchet,2010,CRB,I,5,1.71E+11,133-10-I,133,10,R6,Umatilla,Walla Walla ,WA,46.135842,-117.808065,100,Managed,Flow (whole reach),26.91,1034.5,1.39,55.39878556,40,5.93,157.8,3.308,2.307,0.29,38.02,21.67,14.89,28.21,0.0795,1.72,5.78,87.5,62.5,132,12.5,221.8,131.199
947,4331,Trout,2008,CRB,I,3,1.71E+11,145-11-I,145,11,R6,Wallowa-Whitman,Whitman ,OR,44.652812,-118.253047,99.9,Managed,Flow (whole reach),58.12,1276.4,0.563,17.45487512,90,3.62,158.7,0.655,2.303,0.27,113.42,74.92,12.37,26.4,0.0095,65.81,72.01,97.5,95,101,30,100.82,43.258
626,4966,Pigtail,2009,CRB,K,4,1.71E+11,110-02-K,110,2,R4,Sawtooth,SNRA,ID,44.107464,-114.745683,100,Managed,Flow (whole reach),10.85,2285,0.764,,,1.62,121,1.793,2.283,0.22,107.44,67.11,4.25,5.44,,,,100,97.62,80,66.67,,
2568,4489,Smith,2008,MRB,I,3,1.01E+11,228-15-I,228,15,R1,Gallatin,Yellowstone ,MT,46.222588,-110.529207,96.11,Managed,Flow (whole reach),18.63,1867.1,0.846,36.50129113,90,5.67,182,1.192,2.275,0.34,49.45,37.97,25.66,144.59,0.044,20.71,24.75,89.13,56.52,106,20,148.35,22.264
798,1135,Boulder,2001,CRB,IK,1,1.71E+11,123-20-IK,123,20,R4,Payette,New Meadows,ID,45.134848,-116.41421,100,Managed,,37.89,1472.9,1.201,,40,7.05,173,0.347,2.267,0.56,40.46,83.06,27.33,113.66,0.028,,,86.36,54.55,116,24.39,335.26,199.59
170,4826,Shorty,2009,CRB,I,4,1.70E+11,038-06-I,38,6,R1,Flathead,Glacier View,MT,48.802878,-114.645354,99.97,Reference,Flow (whole reach),6.14,1644.9,1.641,67.21384814,80,6.38,156.9,0.784,2.261,0.39,82.86,76.99,16.94,27.47,0.01,7.8,25.07,100,58.97,94,44.44,803.06,145.652
280,350,Bass,2004,CRB,I,4,1.70E+11,059-04-I,59,4,R1,Bitterroot,Stevensville,MT,46.587755,-114.269328,94.08,Managed,,6.23,1889.7,1.451,52.53615744,10,5.48,188.8,0.408,2.253,0.52,42.37,89.94,14.71,35.35,0.002,49.4,72.72,97.83,67.39,69,69.44,858.05,118.024
2568,7572,Smith,2013,MRB,I,3,1.01E+11,228-15-I,228,15,R1,Gallatin,Yellowstone ,MT,46.222588,-110.529207,96.11,Managed,Flow (whole reach),18.63,1867.1,0.846,24.54123735,110,5.93,174.7,1.357,2.237,0.36,40.07,32.4,25.48,32.4,0.022,28,39.33,95.24,80.95,109,32.5,194.62,38.861
798,2374,Boulder,2006,CRB,IK,1,1.71E+11,123-20-IK,123,20,R4,Payette,New Meadows,ID,45.134848,-116.41421,100,Managed,Flow (whole reach),37.89,1472.9,1.201,29.91575807,40,7.4,178.9,0.363,2.236,0.51,50.31,76.08,21.49,29.93,0.006,9.56,30.15,90.91,79.55,110,30.95,335.38,71.585
959,1387,Pine,2003,CRB,I,3,1.71E+11,147-02-I,147,2,R6,Malheur,Emigrant Creek,OR,43.851487,-118.757401,97.86,Managed,,53.73,1496.9,0.498,4.981675749,110,2.52,160.6,0.255,2.231,0.47,74.72,68.99,14.36,17.02,0.01,34.8,59.26,100,87.5,114,15.38,18.68,67.351
280,4872,Bass,2009,CRB,I,4,1.70E+11,059-04-I,59,4,R1,Bitterroot,Stevensville,MT,46.587755,-114.269328,94.08,Managed,Flow (whole reach),6.23,1889.7,1.451,60.0932844,10,5.85,180.4,0.327,2.227,1.02,5.54,90.58,8.37,9.16,0.002,50.67,53.33,100,97.62,84,57.14,903.55,213.74
2737,5130,W.F. Ruby,2009,MRB,I,4,1.00E+11,298-02-I,298,2,R1,Beaverhead-Deerlodge,Madison,MT,44.909352,-112.002884,100,Managed,Flow (whole reach),56.59,2022,0.696,50.85825349,210,4.43,195,1.185,2.213,0.3,51.28,43.59,7.21,10.88,0.092,11.6,19.47,92,92,91,44,0,0
422,561,Dillinger,2001,CRB,I,1,1.71E+11,086-04-I,86,4,R4,Payette,Krassel,ID,45.496212,-115.189458,100,Reference,,6.51,1970.8,1.028,,30,2.77,88.2,0.488,2.211,0.37,56.69,83.33,11.44,30.71,0.006,,,97.92,97.92,73,64.58,113.38,64.538
2094,3895,Elk 5,2006,SPCL,I,,1.71E+11,513-09-I,513,9,R4,Boise,Lowman,ID,44.416144,-115.393367,100,Managed,Flow (whole reach),180.55,1947.5,1.129,32.54218465,,20.2,168,0.101,2.211,1.48,5.95,39.64,29.29,137.74,0.014,4.67,16.67,90.91,77.27,91,52.5,17.86,0.825
1171,1640,Sublett,2003,CRB,IKS,5,1.70E+11,177-09-IKS,177,9,R4,Sawtooth,Minidoka,ID,42.325978,-113.011209,100,Managed,,70.44,1644.2,0.652,0,360,4.61,173.5,0.392,2.21,0.24,23.05,16.37,15.16,15.8,0.004,51.68,60.82,95.45,90.91,139,2.44,0,0
779,1086,Hard,2001,CRB,I,1,1.71E+11,123-04-I,123,4,R4,Payette,New Meadows,ID,45.143701,-116.178674,100,Managed,,21.58,1802.2,1.403,,10,7.54,134.3,0.335,2.209,0.67,22.34,52.87,74.32,72.88,0.048,,,95.65,50,86,53.12,89.35,11.041
596,3969,Road,2007,CRB,IS,5,1.71E+11,108-05-IS,108,5,ID BLM,Idaho Falls,Challis,ID,44.164334,-114.180973,92.42,Managed,Flow (whole reach),86.11,1919.9,0.545,6.428854949,100,1.56,168.7,0.32,2.202,0.31,82.99,68.64,7.97,21.57,0.005,26.4,44.53,97.62,95.24,99,33.33,0,0
442,586,Moose,2002,CRB,IS,3,1.71E+11,087-13-IS,87,13,R4,Payette,Krassel,ID,45.34706,-115.25303,100,Reference,,33.54,1847.5,0.929,71.29258353,60,5.09,128.3,0.842,2.201,0.4,77.94,85.42,15.03,55.14,0.029,,25.79,88.1,83.33,93,50,342.95,60.24
1171,5623,Sublett,2010,CRB,IKS,5,1.70E+11,177-09-IKS,177,9,R4,Sawtooth,Minidoka,ID,42.325978,-113.011209,100,Managed,Flow (whole reach),70.44,1644.2,0.652,0,320,6.19,178.2,0.499,2.2,0.17,28.06,5.05,17.86,15.12,0.002,39.16,48.79,93.48,78.26,147,2.44,0,0
1171,6271,Sublett,2011,CRB,IKS,5,1.70E+11,177-09-IKS,177,9,R4,Sawtooth,Minidoka,ID,42.325978,-113.011209,100,Managed,Flow (whole reach),70.44,1644.2,0.652,0,390,2.9,177.5,0.975,2.186,0.21,50.7,28.62,14.13,14.85,0.002,95.63,97.85,100,86.36,125,10.81,0,0
600,4962,Meridian,2009,CRB,IS,5,1.71E+11,108-13-IS,108,13,R4,Salmon-Challis,Challis Yankee,ID,43.983801,-114.263328,100,Reference,Flow (whole reach),19.57,2367.4,0.725,,190,,161.5,,2.182,0,0,0,,0,,,,,,,,,
